sep=;
Timestamp [us];Power measure [mW]
3714171.000000;225
3715354.000000;222
3716475.000000;225
3717599.000000;225
3718721.000000;222
3719844.000000;221
3721181.000000;224
3722302.000000;222
3723423.000000;220
3724563.000000;224
3725684.000000;223
3726805.000000;221
3728313.000000;220
3729433.000000;224
3730554.000000;222
3731675.000000;221
3732797.000000;225
3734317.000000;223
3735444.000000;224
3736565.000000;224
3737686.000000;222
3738807.000000;221
3740161.000000;225
3741282.000000;222
3742403.000000;221
3743524.000000;224
3744645.000000;223
3745766.000000;221
3746888.000000;224
3748183.000000;222
3749354.000000;221
3750476.000000;224
3751597.000000;224
3752717.000000;222
3753838.000000;220
3755184.000000;222
3756362.000000;220
3757483.000000;224
3758607.000000;224
3759729.000000;223
3760851.000000;221
3762331.000000;224
3763452.000000;222
3764572.000000;221
3765693.000000;224
3766814.000000;224
3768341.000000;222
3769462.000000;225
3770582.000000;224
3771704.000000;222
3772825.000000;221
3774176.000000;225
3775360.000000;221
3776480.000000;224
3777602.000000;224
3778723.000000;222
3779845.000000;221
3781185.000000;224
3782306.000000;223
3783427.000000;221
3784548.000000;225
3785668.000000;225
3786789.000000;223
3787910.000000;222
3789217.000000;224
3790361.000000;222
3791483.000000;225
3792604.000000;224
3793725.000000;222
3794847.000000;221
3796185.000000;224
3797306.000000;222
3798427.000000;221
3799548.000000;225
3800669.000000;223
3801791.000000;221
3802913.000000;224
3804187.000000;222
3805363.000000;220
3806484.000000;224
3807605.000000;224
3808727.000000;222
3809847.000000;220
3811187.000000;224
3812308.000000;222
3813429.000000;220
3814550.000000;225
3815671.000000;224
3816791.000000;222
3817915.000000;221
3819190.000000;224
3820365.000000;222
3821486.000000;225
3822611.000000;224
3823733.000000;223
3824854.000000;221
3826188.000000;224
3827309.000000;223
3828430.000000;222
3829551.000000;221
3830672.000000;224
3831793.000000;223
3832914.000000;221
3834190.000000;223
3835368.000000;222
3836490.000000;224
3837611.000000;223
3838733.000000;223
3839853.000000;221
3841191.000000;224
3842311.000000;223
3843432.000000;221
3844553.000000;220
3845674.000000;224
3846798.000000;222
3848308.000000;220
3849432.000000;223
3850553.000000;222
3851673.000000;220
3852794.000000;224
3853915.000000;223
3855364.000000;220
3856485.000000;223
3857610.000000;223
3858730.000000;221
3859851.000000;220
3861193.000000;223
3862314.000000;222
3863435.000000;221
3864556.000000;224
3865678.000000;224
3866799.000000;222
